period,trait,skew_obs,skew_n,skew_expected,skew_se,skew_ts,skew_df,skew_p,skew_bonf,skew_rank,skew_alpha
Jomon,xbi1,0.8636492900463091,7,0,0.7937253933193772,1.0880958292571548,10000,0.27657902804335494,0.025,1,n.s.
Jomon,mlm2,0.11305813294143968,8,0,0.7521014330903549,0.15032298566017657,10000,0.8805128308817194,0.05,2,n.s.
Yayoi,xlm1,-1.8616776856474033,11,0,0.6606874726434099,-2.8177886863797084,10000,0.0048450507019808485,0.0071428571428571435,1,*
Yayoi,xli2,-1.5222559690684525,13,0,0.6163360527099886,-2.4698473541750388,10000,0.013533640341765473,0.008333333333333333,2,n.s.
Yayoi,xbi2,-1.3937030512636102,14,0,0.5973799001456604,-2.333026355462881,10000,0.01966648736349867,0.01,3,n.s.
Yayoi,xbc,1.2707788142796463,8,0,0.7521014330903549,1.6896375387267468,10000,0.09112849085581468,0.0125,4,n.s.
Yayoi,xbm1,0.891002150552476,11,0,0.6606874726434099,1.3485985241820575,10000,0.17749649530613593,0.016666666666666666,5,n.s.
Yayoi,xbi1,0.5980498911144256,13,0,0.6163360527099886,0.9703308584413326,10000,0.33190506881008075,0.025,6,n.s.
Yayoi,xbp1,0.3928174098571583,14,0,0.5973799001456604,0.6575671691688602,10000,0.5108314315520324,0.05,7,n.s.
