period,trait,sides_ms,sides_df,ind_ms,ind_df,sxi_ms,sxi_df,me_ms,me_df,sides_f,sides_p,ind_f,ind_p,fa_me_f,fa_me_p,anova_bonf,anova_rank,anova_alpha,pct_me,n_reps,fa10_noME,fa10_df
Jomon,mlm2,0.25740312500000184,1,2.443035267857143,7,0.21303883928571424,7,0.03069687499999969,16,1.2082450592719811,0.30804110568233545,11.467558103716001,0.0023180733885618974,6.94008231410254,6.781329292707178e-4,0.0017857142857142859,1,*,14.40905099883265,2,0.09117098214285728,5.081906357580725
Jomon,xbi1,0.06128928571428529,1,0.3248821428571433,6,0.10537261904761912,6,0.014660714285714208,14,0.5816433744195724,0.47457438657804496,3.083174222995494,0.09821772930860029,7.187413723101951,0.001181164977891187,0.001851851851851852,2,*,13.913210488854661,2,0.045355952380952455,4.409975268643163
Jomon,mlp2,0.0975374999999978,1,1.2732075000000054,5,0.10098750000000001,5,0.020845833333333532,12,0.9658373561084075,0.37085286252474353,12.607575194949922,0.007336109464698877,4.8444933040175435,0.011759214440532547,0.0019230769230769232,3,n.s.,20.641993646078504,2,0.040070833333333236,3.0939176997207674
Jomon,xbm1,0.10081999999999838,1,0.5078875000000024,4,0.1466574999999998,4,0.027129999999999883,10,0.6874520566626222,0.45364284973526864,3.463085761041904,0.12811196935198518,5.4057316623664,0.013973358169533007,0.002,4,n.s.,18.49888345294303,2,0.05976374999999996,2.6210943489304896
Jomon,xlm2,0.04515625000000095,1,1.274806249999997,3,0.0960562500000008,3,0.01606874999999996,8,0.4701021536859973,0.5421719191352836,13.271455527360128,0.030817672716269538,5.97782963827311,0.019330393079291904,0.0020833333333333333,5,n.s.,16.728479406597515,2,0.03999375000000042,2.058640314922996
Jomon,xli2,0.09940500000000145,1,0.7855875000000015,4,0.2516174999999997,4,0.052855000000000166,10,0.3950639363319386,0.5637546726643083,3.1221496914960305,0.147998986901004,4.76052407530033,0.020707975407670956,0.002173913043478261,6,n.s.,21.00609059385783,2,0.09938124999999978,2.452723938633247
Jomon,xbi2,0.23761999999999944,1,0.32806999999999975,4,0.2171699999999997,4,0.04737000000000037,10,1.0941658608463405,0.3545935570622526,1.5106598517290613,0.3495561384647974,4.584547181760565,0.023176835431632983,0.002272727272727273,7,n.s.,21.81240502831903,2,0.08489999999999967,2.3996516551572746
Jomon,mlc,0.1232666666666652,1,0.3585766666666669,5,0.16418666666666687,5,0.06762500000000005,12,0.7507714796166867,0.4258487595146626,2.183957284391748,0.2057248357012093,2.4278989525569945,0.09661242073654613,0.002380952380952381,8,n.s.,41.18787558876074,2,0.04828083333333341,1.6152583767874797
Jomon,xlp2,0.01682000000000007,1,0.28546750000000015,4,0.09505749999999992,4,0.03732000000000001,10,0.17694553296688936,0.6956275393823961,3.0031033847934188,0.15603201877906156,2.547092711682741,0.10506221192429413,0.0025,9,n.s.,39.26044762380669,2,0.028868749999999953,1.39001545546489
Jomon,mbp2,0.1962041666666698,1,0.4927141666666649,5,0.07491416666666548,5,0.03357083333333261,12,2.619052916115193,0.16651176832274006,6.577049289742787,0.029641704038636318,2.2315253816557155,0.1182189723007246,0.002631578947368421,10,n.s.,44.81239640922364,2,0.020671666666666432,1.4052540398228444
