period,trait,kurt_obs,kurt_n,kurt_expected,kurt_se,kurt_ts,kurt_df,kurt_p,kurt_bonf,kurt_rank,kurt_alpha
Jomon,mlm2,-0.9958487757707095,8,0,1.4808804789742462,-0.6724707293464351,10000,0.5012996057427184,0.025,1,n.s.
Jomon,xbi1,0.13398513454778715,7,0,1.5874507866387544,0.08440270128404129,10000,0.932737949171827,0.05,2,n.s.
Yayoi,xlm1,3.893232403524026,11,0,1.2794157892978975,3.0429766742682673,10000,0.002348584839178675,0.004545454545454546,1,*
Yayoi,xli2,3.5517232874141316,12,0,1.2322464739446486,2.8823156426201075,10000,0.003956048695319108,0.005,2,*
Yayoi,xbi2,2.6216302029408585,14,0,1.154050369105644,2.2716774528416352,10000,0.02312714894281871,0.005555555555555556,3,n.s.
Yayoi,mbm1,2.010363850203002,20,0,0.992383612541845,2.025793075173571,10000,0.0428124946222446,0.00625,4,n.s.
Yayoi,mbp2,1.2441110921465706,17,0,1.0631978227919818,1.1701595558947877,10000,0.2419646517677868,0.0071428571428571435,5,n.s.
Yayoi,mlm1,1.0900590348293164,23,0,0.9347637987735967,1.166133130379531,10000,0.2435884342461069,0.008333333333333333,6,n.s.
Yayoi,xbc,1.5469968738771493,8,0,1.4808804789742462,1.044646678676391,10000,0.29621154842896874,0.01,7,n.s.
Yayoi,xbp1,0.9248605591126893,14,0,1.154050369105644,0.8014039801654669,10000,0.4229168530935281,0.0125,8,n.s.
Yayoi,xbi1,-0.7981336512991057,13,0,1.1908743922772957,-0.6702080895138266,10000,0.5027406239782791,0.016666666666666666,9,n.s.
Yayoi,xbm1,0.31519560263541857,11,0,1.2794157892978975,0.2463590064090016,10000,0.8054093931034485,0.025,10,n.s.
Yayoi,xbp2,-1.5000000000000002,3,0,Inf,-0,10000,1,0.05,11,n.s.
