period,trait,sides_ms,sides_df,ind_ms,ind_df,sxi_ms,sxi_df,me_ms,me_df,sides_f,sides_p,ind_f,ind_p,fa_me_f,fa_me_p,anova_bonf,anova_rank,anova_alpha,pct_me,n_reps,fa10_noME,fa10_df
Jomon,mlm2,0.25740312500000184,1,2.443035267857143,7,0.21303883928571424,7,0.03069687499999969,16,1.2082450592719811,0.30804110568233545,11.467558103716001,0.0023180733885618974,6.94008231410254,6.781329292707178e-4,0.025,1,*,14.40905099883265,2,0.09117098214285728,5.081906357580725
Jomon,xbi1,0.06128928571428529,1,0.3248821428571433,6,0.10537261904761912,6,0.014660714285714208,14,0.5816433744195724,0.47457438657804496,3.083174222995494,0.09821772930860029,7.187413723101951,0.001181164977891187,0.05,2,*,13.913210488854661,2,0.045355952380952455,4.409975268643163
Yayoi,xbi2,0.10631428571428608,1,1.1025802197802188,13,0.3251950549450546,13,0.012678571428571424,28,0.32692466904900847,0.5772288051844525,3.3905196374111912,0.017928970981339415,25.649187432286002,3.998180845650704e-12,0.005555555555555556,1,*,3.898758986576107,2,0.15625824175824157,11.997616013439771
Yayoi,mbp2,0.013552941176470303,1,0.8236597426470597,16,0.10772481617647064,16,0.012638235294117658,34,0.12581076169365094,0.727447678567636,7.64596099470499,9.677790193507331e-5,8.523722946241561,1.0161742969856024e-7,0.00625,2,*,11.731962738663846,2,0.04754329044117649,12.38577003707236
Yayoi,xbc,0.43711249999999907,1,0.8159571428571432,7,0.20443392857142892,7,0.016206250000000023,16,2.1381602508669326,0.18706891896289435,3.9913000183433294,0.0440445047015742,12.614511597157184,1.888654848432589e-5,0.0071428571428571435,3,*,7.927377863962333,2,0.09411383928571444,5.917886813062319
Yayoi,xbm1,0.12658181818182052,1,1.9448804545454572,10,0.08625681818181834,10,0.011804545454545482,22,1.4674992754196223,0.2535895394930166,22.547556187916623,1.5071281752802445e-5,7.307085098190216,5.375835224501085e-5,0.008333333333333333,4,*,13.685347666851113,2,0.037226136363636426,7.387329947237101
Yayoi,mbm1,0.06555125000000135,1,0.7301407236842116,19,0.05536967105263172,19,0.014668749999999921,40,1.1838836813332612,0.2901767895182247,13.186654531325917,3.089311178279712e-7,3.774668669970653,1.9916074982719712e-4,0.01,5,*,26.492391450287865,2,0.0203504605263159,9.935183771164363
Yayoi,xbi1,7.692307692305796e-6,1,0.6158076923076923,12,0.05619935897435898,12,0.01451923076923075,26,1.3687536357515073e-4,0.9908577191987886,10.957557231011393,1.0909824932213838e-4,3.8706843267108226,0.0018744710599872733,0.0125,6,*,25.835224874816035,2,0.020840064102564115,6.403239765674625
Yayoi,xbp1,0.006428571428571406,1,4.097318681318685,13,0.041390109890109904,13,0.011496428571428585,28,0.15531660692950955,0.6998941426348609,98.992698791982,8.480181281022373e-11,3.600258083016701,0.0021843852926010845,0.016666666666666666,7,*,27.775786539227422,2,0.01494684065934066,6.546738022311865
Yayoi,xbp2,0.0024083333333330573,1,0.10470000000000187,2,0.028933333333334102,2,0.001491666666666727,6,0.08323732718892835,0.800110634775455,3.6186635944700147,0.21651284609628485,19.39664804469247,0.0024033370872287687,0.025,8,*,5.155529953917122,2,0.013720833333333687,1.7975021433765486
Yayoi,mlm1,0.19633152173912938,1,0.9448600790513839,22,0.11373379446640307,22,0.04310978260869578,46,1.7262373304279903,0.20242857914242096,8.307645792390188,2.7644461568204686e-6,2.6382363255866093,0.0027652239735521424,0.05,9,*,37.90411004130386,2,0.03531200592885364,7.937566805866125
